gene,mean_importance,std_importance,variance_in_data,rank
EPCAM,0.00401844733638508,0.003240121518717433,40102668.528799325,36
LMNA,0.003949320254086564,0.00398328251629657,14733119.555182666,37
HSPG2,0.003913339811096505,0.0034183304454634073,22843533.515436873,38
IGFBP4,0.0038963573087012217,0.0021351971662314346,16155766.88253889,39
RBM3,0.0038621617076650817,0.0011106783623106695,13298475.678698128,40
RPLP0,0.0038581779818735056,0.003335536998737838,679992069.2905923,41
RPL27A,0.003838737972605413,0.003961827637332939,284467677.7477341,42
TFRC,0.0037281500845864745,0.0040154165585808,15003274.707954768,43
HSP90AB1,0.0036671418631872964,0.001844042039375376,253044468.94850838,44
A2M,0.003644077474058221,0.003585484865125294,21506840.125296466,45
MT1G,0.003593055872913147,0.002427720705913945,16929527.493842825,46
DCN,0.003576056602232189,0.0022761052435180643,79138015.80457592,47
ITM2B,0.003563683371062732,0.002336643603245852,29305986.436443724,48
HP,0.003538041051351552,0.002871719942555454,45084570.20830766,49
LRIG1,0.003503147592127317,0.0007110412568223316,19112729.67211859,50
LAMA5,0.0034931258965741774,0.0027276896979317915,38250308.74484166,51
KRT7,0.0034681499262337414,0.002962722864819231,89653346.1928162,52
NCRNA00188,0.0034534480057735475,0.0036309740422678333,144722885.87067828,53
CSDE1,0.0034198293311043858,0.002469335578464551,58284862.14816125,54
NOTCH2,0.0033866993056051943,0.001686266997926989,15794359.908257555,55
RPS20,0.003386523260614773,0.004022312515450407,278185382.8917053,56
RPS8,0.003338307017178974,0.0014894158457660327,649306049.5019132,57
SNRPD2,0.003334356207261375,0.0007054575310463987,15734543.808797741,58
EIF3E,0.0033256056925977024,0.0033770105637329012,33726992.06951109,59
EEF1D,0.0032803886308443776,0.0014902033189822808,56653932.28189059,60
PRDX6,0.0032623980847178886,0.002486564691730992,14769610.234681008,61
MUC1,0.0032493743509619828,0.002471859324076398,167940869.27235013,62
PLD3,0.003237114266093776,0.0025777137572968603,37447444.158483304,63
CP,0.0032190654689855367,0.0029150014988018062,141067536.19541293,64
RPL8,0.003209655834181487,0.0013584247501188273,2702733254.6191416,65
PCBP2,0.003196857656821253,0.001967333844217605,26144866.008281685,66
SAT1,0.0031768714771271355,0.003065284519626377,17407794.439011656,67
EEF1G,0.0031609852097136087,0.0017878651945540244,252918864.97966352,68
CAPNS1,0.003142898237573769,0.002222535659903509,15580060.916653557,69
MIF,0.0031414182846392137,0.0021748206473987146,46347507.22591822,70
UQCRFS1,0.003097330341745705,0.0013406626301542411,43387665.31517374,71
CD74,0.0030954940433707543,0.0035257118274514593,3101471051.167385,72
MUC16,0.00309408406034626,0.001887934087714198,52102016.262926705,73
ODC1,0.0030858004569612736,0.00137096332213291,14926232.445643099,74
RPL35,0.003075142129346131,0.002977192388488556,103707688.82793824,75
RPL37A,0.0030737729279517382,0.0027721536316407266,491641897.7950054,76
GLUL,0.0030533715622985767,0.0020602667677091214,17657821.08546333,77
ACTN4,0.003022930488757328,0.0019068046416957371,258727012.8194129,78
SERF2,0.0030228559500439286,0.002446209666059771,29935918.782494307,79
GRN,0.0030202175487326842,0.0021279114501624448,16584058.304376272,80
